IDs,Product Date,Opportunity Owner,Agency Holding Company,Account Name,Opportunity Name,LineItemID,Segment Name,Endpoint
1003089466,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ66QAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Weather,LiveRamp
1003089446,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ67QAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > World News,LiveRamp
1003089706,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ4fQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Custom > Commute,LiveRamp
1003087186,2018-05-01,Kristin Reed,Publicis,Signet Jewelers,Signet_Zales_Digitas_Q2_2018_Segments,00k0Z00000fxJ4KQAU,ShareThis > Interest from Social Activity > Zales > Custom > Jewelry Gift,LiveRamp
1003087176,2018-05-01,Kristin Reed,Publicis,Signet Jewelers,Signet_Zales_Digitas_Q2_2018_Segments,00k0Z00000fxJ4FQAU,ShareThis > Interest from Social Activity > Zales > Custom > Graduation Gift,LiveRamp
10024324,2018-04-23,Alex Walsh,Interpublic,NY Lottery,NY Lottery_FOMO_UM_2018_Q2_Segments,00k0Z00000fxJ6zQAE,ShareThis > Interest from Social Activity > NY Lottery > Custom > Fomo,TTD
10024323,2018-04-23,Alex Walsh,Interpublic,NY Lottery,NY Lottery_FOMO_UM_2018_Q2_Segments,00k0Z00000fxJ6uQAE,ShareThis > Interest from Social Activity > NY Lottery > Custom > Lottery,TTD
1003089716,2018-05-04,Kristin Reed,,VH1,Viacom_VH1 Mother's Day_Q2_2018_Segments,00k0Z00000fxJ79QAE,ShareThis > Interest from Social Activity > Viacom > Custom > VH1 Mother's Day,LiveRamp
1003089726,2018-05-04,Kristin Reed,,VH1,Viacom_VH1 Mother's Day_Q2_2018_Segments,00k0Z00000fxJ7EQAU,ShareThis > Interest from Social Activity > Viacom > Custom > VH1 Keywords,LiveRamp
10024338,2018-04-20,Alex Walsh,WPP Group,Nestle USA,Purina One_Dog + Cat Q2_2018_Segments,00k0Z00000fxJDzQAM,ShareThis > Interest from Social Activity > Purina One > Custom > Cats,TTD
10024334,2018-04-20,Alex Walsh,WPP Group,Nestle USA,Purina One_Dog + Cat Q2_2018_Segments,00k0Z00000fxJFZQA2,ShareThis > Interest from Social Activity > Purina One > Custom > Dogs,TTD
12305507,2018-05-01,Andi Wilson,,Appnexus,Sellpoints_Retargeter_Q2_2018,00k0Z00000fxJQDQA2,ShareThis > Interest from Social Activity > Retargeter > Custom > Digital Advertising,Appnexus
10024774,2018-05-17,Heather Goeld,Publicis,Sherwin-Williams,SherwinWilliams_MinWax_SparkFoundry_2018_Q2Q3Q4,00k0Z00000fxJGSQA2,"ShareThis > Interest from Social Activity > Sherwin Williams > Vertical > How-To, DIY & Expert Content",TTD
10026947,2018-05-17,Heather Goeld,Publicis,Sherwin-Williams,SherwinWilliams_MinWax_SparkFoundry_2018_Q2Q3Q4,00k0Z00000fxJGNQA2,ShareThis > Interest from Social Activity > Sherwin Williams > Vertical > Home Improvement,TTD
10024777,2018-05-17,Heather Goeld,Publicis,Sherwin-Williams,SherwinWilliams_MinWax_SparkFoundry_2018_Q2Q3Q4,00k0Z00000fxJGhQAM,ShareThis > Interest from Social Activity > Sherwin Williams > Custom > Woodworking,TTD
10024775,2018-05-17,Heather Goeld,Publicis,Sherwin-Williams,SherwinWilliams_MinWax_SparkFoundry_2018_Q2Q3Q4,00k0Z00000fxJGXQA2,ShareThis > Interest from Social Activity > Sherwin Williams > Vertical > Arts & Crafts,TTD
10024776,2018-05-17,Heather Goeld,Publicis,Sherwin-Williams,SherwinWilliams_MinWax_SparkFoundry_2018_Q2Q3Q4,00k0Z00000fxJGcQAM,ShareThis > Interest from Social Activity > Sherwin Williams > Custom > Home Depot Shoppers,TTD
1003146009,2018-06-18,Denise Shipley,,TubeMogul,Tube_WesternUnion_Q2/Q3_2018,00k0Z00000fxJHLQA2,ShareThis > Interest from Social Activity > Western Union > Vertical > ATMs & Branch Locations,LiveRamp
1003145999,2018-06-18,Denise Shipley,,TubeMogul,Tube_WesternUnion_Q2/Q3_2018,00k0Z00000fxJHGQA2,ShareThis > Interest from Social Activity > Western Union > Vertical > Banking,LiveRamp
1003145989,2018-06-18,Denise Shipley,,TubeMogul,Tube_WesternUnion_Q2/Q3_2018,00k0Z00000fxJHQQA2,ShareThis > Interest from Social Activity > Western Union > Vertical > Debit & Checking Services,LiveRamp
1003145979,2018-06-18,Denise Shipley,,TubeMogul,Tube_WesternUnion_Q2/Q3_2018,00k0Z00000fxJHBQA2,ShareThis > Interest from Social Activity > Western Union > Vertical > Money Transfer & Wire Services,LiveRamp
10024798,2018-04-30,Alex Walsh,Publicis,Publicis Health,Novo Nordisk_Saxenda_Q2_2018_Segment,00k0Z00000fxJMRQA2,ShareThis > Interest from Social Activity > Novo Nordisk > Vertical > Obesity,TTD
