REPORT_DATE,PLATFORM_ID,PLATFORM,PARTNER_NAME,BUYER_NAME,SOURCE,ADVERTISER_NAME,PUBLISHER,AD_ACCOUNT_ID,CAMPAIGN_ID,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,DEVICE,AD_FORMAT,COUNTRY_DATA,COUNTRY_USE,DATA_PROVIDER_ID,LIVERAMP_SEGMENT_ID,SEGMENT_NAME,GROSS_DATA_CPM,NET_CPM,IMPRESSIONS,CLICKS,GROSS_MEDIA_SPEND,TOTAL_DATA_REVENUE_EARNED,DATA_PROVIDER_REVENUE,LIVERAMP_REVENUE,DATA_USE,DATA_TYPE,DATA_PROVIDER,REV_SHARE_PREMIUM_BASIC,CONVERSIONS,ATTRIBUTABLE_REVENUE,AOFT,SOURCE_ID,UPLOAD_DATE
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,437687255,,11/1/16,1/18/38,,,USA,,,1001013109,ShareThis > Finance > Banking > Savings Accounts,,0.95,14,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,KSL.com - DFP,,,,,439922190,,4/24/18,1/18/38,,,USA,,,1001012529,ShareThis > Autos & Vehicles > Vehicle Brands > Subaru,,0.95,11,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,437686625,,11/1/16,1/18/38,,,USA,,,1001012499,ShareThis > Autos & Vehicles > Vehicle Brands > Honda,,0.95,10,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,439922007,,11/1/16,1/18/38,,,USA,,,1001012439,ShareThis > Autos & Vehicles > Campers & Rvs,,0.95,12,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,439918143,,11/1/16,1/18/38,,,USA,,,1001012139,ShareThis > Arts & Entertainment > Comics & Animation > Anime & Manga,,0.95,14,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,436973704,,11/1/16,1/18/38,,,USA,,,1001012089,ShareThis > Arts & Entertainment > Events & Listings > Expos & Conventions,,0.95,14,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,436973776,,11/1/16,1/18/38,,,USA,,,1001012069,ShareThis > Arts & Entertainment > Events & Listings > Movie Listings & Theater Showtimes,,0.95,6,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,439921035,,11/1/16,1/18/38,,,USA,,,1001011999,ShareThis > Arts & Entertainment > Movies > Science Fiction & Fantasy Films,,0.95,9,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,436974778,,11/1/16,1/18/38,,,USA,,,1001011879,ShareThis > Arts & Entertainment > Tv & Video > Tv Commercials,,0.95,13,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,upgrade_30127,,,,,436975774,,4/24/18,1/18/38,,,USA,,,1001011429,ShareThis > Business & Industrial > Energy & Utilities > Electricity,,0.95,7,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Nueva WalMart de Mexico S de RL de CV - DFP,,,,,437687384,,4/2/18,1/18/38,,,USA,,,1001011019,ShareThis > Food & Drink > Cooking & Recipes,,17.27,18,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,439923774,,11/1/16,1/18/38,,,USA,,,1001009919,ShareThis > People & Society > Family & Relationships > Friendship,,0.95,12,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,437688320,,11/1/16,1/18/38,,,USA,,,1001009419,ShareThis > Shopping > Gifts & Special Event Items > Gifts,,0.95,8,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
