Year,Quarter,Month,Endpoint,Country,Region,Integration Partner,Sale Type,Branding,Segment Type,Partner Name,Advertiser Name,Buyer Name,Segment Name,Revenue,Segment ID,Vertical Segment Name,Opportunity Owner,Agency Holding Company,Account Name,Opportunity Name,L1,L2,L3,L4,L5,L6
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Science > Ecology & Environment > Climate Change & Global Warming,49.65,1001014679,Science > Ecology & Environment > Climate Change & Global Warming,-,-,-,-,Science,Ecology & Environment,Climate Change & Global Warming,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > People & Society > Social Issues & Advocacy > Green Living & Environmental Issues,50.05,1001014439,People & Society > Social Issues & Advocacy > Green Living & Environmental Issues,-,-,-,-,People & Society,Social Issues & Advocacy,Green Living & Environmental Issues,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Health > Public Health,50.52,1001010649,Health > Public Health,-,-,-,-,Health,Public Health,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Finance > Accounting & Auditing,51.05,1001011179,Finance > Accounting & Auditing,-,-,-,-,Finance,Accounting & Auditing,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Home & Garden > Bed & Bath,51.21,1001013729,Home & Garden > Bed & Bath,-,-,-,-,Home & Garden,Bed & Bath,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,Direct Sales,Branded,Custom,,Bid Manager Partner 849137,N/A,ShareThis > Interest from Social Activity > Novartis Alcon > Custom > Dailies,52.63,1003082486,Novartis Alcon > Custom > Dailies,Ivy Levine,Publicis,Alcon,Novartis_Alcon_Dailies Total 1_Starcom_2018_Segments,Novartis Alcon,Custom,Dailies,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,Direct Sales,Branded,Vertical,,Bid Manager Advertiser 1061531,N/A,ShareThis > ShareThis > Interest from Social Activity > Morgan Stanley > Vertical > Green Living & Environmental Issues > 1,53.27,1002660376,Morgan Stanley > Vertical > Green Living & Environmental Issues > 1,Jessica Ackerson,Publicis,Morgan Stanley,MorganStanley_2018BidtellectSegments_SparkFoundry_2018,Morgan Stanley,Vertical,Green Living & Environmental Issues ,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Law & Government > Military > Navy,53.76,1001010099,Law & Government > Military > Navy,-,-,-,-,Law & Government,Military,Navy,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Travel > Hotels & Accommodations,53.97,1001009169,Travel > Hotels & Accommodations,-,-,-,-,Travel,Hotels & Accommodations,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,Direct Sales,Branded,Vertical,,Bid Manager Partner 134,N/A,ShareThis > Interest from Social Activity > Amtrak > Vertical > Specialty Travel,54.66,1002851796,Amtrak > Vertical > Specialty Travel,Alex Walsh,Interpublic,Amtrak,Amtrak_Initiative_2018_Segments,Amtrak,Vertical,Specialty Travel,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Beauty & Fitness > Face & Body Care > Hygiene & Toiletries,55.24,1001012599,Beauty & Fitness > Face & Body Care > Hygiene & Toiletries,-,-,-,-,Beauty & Fitness,Face & Body Care,Hygiene & Toiletries,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,HTL,N/A,ShareThis > Health > Nutrition > Vitamins & Supplements,56.1,1001013579,Health > Nutrition > Vitamins & Supplements,-,-,-,-,Health,Nutrition,Vitamins & Supplements,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis_US > Interest from Social Activity > New Year > Celebration Planners > 1,56.15,1001142679,New Year > Celebration Planners > 1,-,-,-,-,New Year,Celebration Planners ,,,,
